 theta         eta          phi
   1.6000000000000008       0.57333333333333336      -0.53333333333333333        1.3653333333333346     
   1.6500000000000008       0.54625000000000001      -0.55000000000000004        1.4973750000000017     
   1.7000000000000008       0.51833333333333331      -0.56666666666666676        1.6376666666666686     
   1.7500000000000009       0.48958333333333331      -0.58333333333333348        1.7864583333333357     
   1.8000000000000009       0.45999999999999996      -0.60000000000000020        1.9440000000000026     
   1.8500000000000010       0.42958333333333326      -0.61666666666666692        2.1105416666666699     
   1.9000000000000010       0.39833333333333326      -0.63333333333333364        2.2863333333333369     
   1.9500000000000011       0.36624999999999991      -0.65000000000000036        2.4716250000000040     
   2.0000000000000009       0.33333333333333320      -0.66666666666666707        2.6666666666666705     
   2.0500000000000007       0.29958333333333320      -0.68333333333333368        2.8717083333333369     
   2.1000000000000005       0.26499999999999985      -0.70000000000000029        3.0870000000000029     
   2.1500000000000004       0.22958333333333317      -0.71666666666666690        3.3127916666666688     
   2.2000000000000002       0.19333333333333316      -0.73333333333333350        3.5493333333333346     
   2.2500000000000000       0.15624999999999981      -0.75000000000000022        3.7968750000000013     
   2.2999999999999998       0.11833333333333312      -0.76666666666666683        4.0556666666666672     
   2.3499999999999996        7.9583333333333117E-002 -0.78333333333333344        4.3259583333333325     
   2.3999999999999995        3.9999999999999779E-002 -0.80000000000000004        4.6079999999999979     
   2.4499999999999993       -4.1666666666689085E-004 -0.81666666666666665        4.9020416666666637     
   2.4999999999999991       -4.1658219530089205E-002 -0.83299886170023207        5.2062428856264464     
   2.5499999999999989       -8.3725157195776168E-002 -0.84967851630780122        5.5250345522914728     
   2.5999999999999988      -0.12662605879733901      -0.86635742883974243        5.8565762189566533     
   2.6499999999999986      -0.17036088864030066      -0.88303565476995038        6.2011178856219695     
   2.6999999999999984      -0.21492961367421851      -0.89971324448387058        6.5589095522874086     
   2.7499999999999982      -0.26033220325231787      -0.91639024382849132        6.9302012189529565     
   2.7999999999999980      -0.30656862891687880      -0.93306669459421077        7.3152428856186020     
   2.8499999999999979      -0.35363886420721391      -0.94974263493805433        7.7142845522843349     
   2.8999999999999977      -0.40154288448751035      -0.96641809975626147        8.1275762189501464     
   2.9499999999999975      -0.45028066679217948      -0.98309312101304713        8.5553678856160289     
   2.9999999999999973      -0.49985218968667167      -0.99976772803133229        8.9979095522819748     
   3.0499999999999972      -0.55025743314198128       -1.0164419477503892        9.4554512189479780     
   3.0999999999999970      -0.60149637842129622       -1.0331158049546361        9.9282428856140328     
   3.1499999999999968      -0.65356900797744333       -1.0497893224772141        10.416534552280137     
   3.1999999999999966      -0.70647530535994740       -1.0664625213814751        10.920576218946282     
   3.2499999999999964      -0.76021525513067001       -1.0831354211230761        11.440617885612467     
   3.2999999999999963      -0.81478884278711750       -1.0998080396950152        11.976909552278688     
   3.3499999999999961      -0.87019605469261652       -1.1164803937576271        12.529701218944941     
   3.3999999999999959      -0.92643687801265096       -1.1331524987552988        13.099242885611222     
   3.4499999999999957      -0.98351130065673453       -1.1498243690214296        13.685784552277532     
   3.4999999999999956       -1.0414193112252657       -1.1664960178729717        14.289576218943868     
   3.5499999999999954       -1.1001608989608740       -1.1831674576957163        14.910867885610227     
   3.5999999999999952       -1.1597360537038208       -1.1998387000213462        15.549909552276604     
   3.6499999999999950       -1.2201447658510651       -1.2165097555971511        16.206951218943001     
   3.6999999999999948       -1.2813870263186495       -1.2331806344491938        16.882242885609415     
   3.7499999999999947       -1.3434628265070940       -1.2498513459396192        17.576034552275846     
   3.7999999999999945       -1.4063721582695228       -1.2665218988187219        18.288576218942293     
   3.8499999999999943       -1.4701150138822745       -1.2831923012723094        19.020117885608752     
   3.8999999999999941       -1.5346913860177729       -1.2998625609648442        19.770909552275221     
   3.9499999999999940       -1.6001012677194582       -1.3165326850787866        20.541201218941705     
   3.9999999999999938       -1.6663446523785985       -1.3332026803505166        21.331242885608198     
   4.0499999999999936       -1.7334215337128194       -1.3498725531031717        22.141284552274705     
   4.0999999999999934       -1.8013319057462032       -1.3665423092766980        22.971576218941220     
   4.1499999999999932       -1.8700757627908287       -1.3832119544553823        23.822367885607743     
   4.1999999999999931       -1.9396530994296277       -1.3998814938931041        24.693909552274274     
   4.2499999999999929       -2.0100639105004534       -1.4165509325365204        25.586451218940816     
   4.2999999999999927       -2.0813081910812583       -1.4332202750463736        26.500242885607360     
   4.3499999999999925       -2.1533859364762957       -1.4498895258170963        27.435534552273911     
   4.3999999999999924       -2.2262971422032627       -1.4665586889948641        28.392576218940469     
   4.4499999999999922       -2.3000418039813080       -1.4832277684942374        29.371617885607034     
   4.4999999999999920       -2.3746199177198397       -1.4998967680135165        30.372909552273601     
   4.5499999999999918       -2.4500314795080733       -1.5165656910489209        31.396701218940173     
   4.5999999999999917       -2.5262764856052571       -1.5332345409076971        32.443242885606750     
   4.6499999999999915       -2.6033549324315328       -1.5499033207202431        33.512784552273331     
   4.6999999999999913       -2.6812668165593760       -1.5665720334513376        34.605576218939916     
   4.7499999999999911       -2.7600121347055797       -1.5832406819105436        35.721867885606507     
   4.7999999999999909       -2.8395908837237367       -1.5999092687618592        36.861909552273097     
   4.8499999999999908       -2.9200030605971889       -1.6165777965326746        38.025951218939696     
   4.8999999999999906       -3.0012486624324066       -1.6332462676220927        39.214242885606296     
   4.9499999999999904       -3.0833276864527708       -1.6499146843086645        40.427034552272893     
   4.9999999999999902       -3.1662401299927274       -1.6665830487575866        41.664576218939501     
   5.0499999999999901       -3.2499859904922883       -1.6832513630274004        42.927117885606108     
   5.0999999999999899       -3.3345652654918574       -1.6999196290762359        44.214909552272722     
   5.1499999999999897       -3.4199779526273564       -1.7165878487676318        45.528201218939330     
   5.1999999999999895       -3.5062240496256338       -1.7332560238759664        46.867242885605947     
   5.2499999999999893       -3.5933035543001344       -1.7499241560915286        48.232284552272560     
   5.2999999999999892       -3.6812164645468135       -1.7665922470252540        49.623576218939178     
   5.3499999999999890       -3.7699627783402834       -1.7832602982131542        51.041367885605794     
   5.3999999999999888       -3.8595424937301703       -1.7999283111204607        52.485909552272417     
   5.4499999999999886       -3.9499556088376737       -1.8165962871455017        53.957451218939042     
   5.4999999999999885       -4.0412021218523133       -1.8332642276233353        55.456242885605661     
   5.5499999999999883       -4.1332820310288509       -1.8499321338291543        56.982534552272284     
   5.5999999999999881       -4.2261953346843786       -1.8666000069814783        58.536576218938912     
   5.6499999999999879       -4.3199420311955601       -1.8832678482451499        60.118617885605545     
   5.6999999999999877       -4.4145221189960191       -1.8999356587341469        61.728909552272171     
   5.7499999999999876       -4.5099355965738610       -1.9166034395142253        63.367701218938798     
   5.7999999999999874       -4.6061824624693264       -1.9332711916054017        65.035242885605427     
   5.8499999999999872       -4.7032627152725617       -1.9499389159842897        66.731784552272060     
   5.8999999999999870       -4.8011763536215044       -1.9666066135862970        68.457576218938698     
   5.9499999999999869       -4.8999233761998768       -1.9832742853076941        70.212867885605334     
   5.9999999999999867       -4.9995037817352754       -1.9999419320075635        71.997909552271963     
   6.0499999999999865       -5.0999175689973617       -2.0166095545096354        73.812951218938608     
   6.0999999999999863       -5.2011647367961356       -2.0332771536040197        75.658242885605233     
   6.1499999999999861       -5.3032452839802948       -2.0499447300488391        77.534034552271876     
   6.1999999999999860       -5.4061592094356774       -2.0666122845717707        79.440576218938503     
   6.2499999999999858       -5.5099065120837736       -2.0832798178715013        81.378117885605150     
   6.2999999999999856       -5.6144871908803120       -2.0999473306191021        83.346909552271782     
   6.3499999999999854       -5.7199012448139133       -2.1166148234593294        85.347201218938423     
   6.3999999999999853       -5.8261486729048020       -2.1332822970118519        87.379242885605052     
   6.4499999999999851       -5.9332294742035838       -2.1499497518724140        89.443284552271692     
   6.4999999999999849       -6.0411436477900766       -2.1666171886139352        91.539576218938336     
   6.5499999999999847       -6.1498911927721949       -2.1832846077875510        93.668367885604965     
   6.5999999999999845       -6.2594721082848874       -2.1999520099236007        95.829909552271602     
   6.6499999999999844       -6.3698863934891179       -2.2166193955325615        98.024451218938239     
   6.6999999999999842       -6.4811340475708974       -2.2332867651059334        100.25224288560487     
   6.7499999999999840       -6.5932150697403538       -2.2499541191170809        102.51353455227151     
   6.7999999999999838       -6.7061294592308478       -2.2666214580220294        104.80857621893814     
   6.8499999999999837       -6.8198772152981233       -2.2832887822602226        107.13761788560478     
